2070170,2070469,2070469,2071025,2071181,2071073,2071249,2071249,2071705,2073190,2074283,2074479,2074479,2074881,2074666,2074554,2073481,2073481,2073467,2067521,2058086,2032594,2032594,1985577,1920035,1866091,1841461,1841461,1825654,1885199,1953508,2031875,2031875,2077421,2085690,2087629,2088686,2088686,2089207,2090016,2090499,2091359,2091359,2091188,2090716,2090194,2089429,2089429,2088878,2088495,H
2030854,2030523,2030326,2030167,2031670,2031670,2032843,2033961,2036189,2037581,2037581,2039723,2041727,2043687,2044831,2044831,2045022,2041434,2032092,2008654,2008654,1971869,1926992,1878703,1851666,1851666,1879009,1958083,2025517,2062122,2062122,2068668,2069773,2069564,2068625,2068625,2067788,2067212,2068175,2068808,2068808,2070886,2071728,2071852,2073326,2073326,2073598,2073659,2074457,2074596,H
2056234,2056234,2055003,2055003,2054540,2053529,2052706,2052930,2052930,2052899,2052789,2052642,2052677,2052677,2052005,2051362,2050403,2041687,2041687,2026626,1995606,1939434,1883283,1883283,1842092,1829375,1882283,1968015,1968015,2042702,2060496,2064357,2064304,2064304,2062887,2061325,2060153,2061017,2061017,2062356,2063286,2063616,2063762,2063762,2064501,2065164,2065462,2066562,2066562,2066562,H
2083021,2083021,2083021,2083021,2083021,2083021,2082898,2081637,2079567,2079488,2079563,2078639,2079098,2079515,2079664,2080120,2080103,2080359,2078656,2072930,2061868,2040330,2013171,2001390,2004691,2017584,2028191,2051696,2077148,2088638,2090725,2091027,2090014,2087948,2087154,2086691,2086636,2086943,2088051,2088478,2088981,2089164,2089093,2088959,2088970,2088970,2088970,2088970,2088970,2088970,M
2077524,2076707,2076707,2077478,2076098,2076758,2077936,2078190,2078190,2079796,2080857,2082229,2083314,2083314,2083010,2081835,2077300,2077300,2066692,2041979,2008743,1985560,1985560,1975295,1971524,1987024,2023849,2023849,2083022,2094454,2097757,2097245,2097245,2096529,2095395,2093697,2093657,2093657,2094054,2094838,2095537,2096565,2096565,2097345,2097722,2098440,2098704,2098704,2098597,2098597,M
2038019,2039908,2039539,2039539,2039789,2041707,2042328,2042773,2042773,2043981,2044642,2044791,2043915,2043915,2044973,2043973,2043510,2043135,2043135,2043124,2042771,2041966,2043165,2043165,2044302,2044595,2043877,2040798,2040798,2028040,2013334,1994814,1981097,1981097,1971474,1970366,1984449,2006864,2006864,2040121,2057596,2061656,2062910,2062910,2062133,2061397,2060856,2059346,2059346,2058191,M
2073032,2073032,2071332,2069595,2062534,2062534,2062534,2064468,2062307,2059523,2060261,2060261,2062142,2062276,2063754,2064402,2064402,2065271,2065775,2065753,2063518,2063518,2060682,2054851,2045411,2036245,2036245,2029757,2031786,2037653,2047294,2047294,2064858,2073521,2073741,2074217,2074217,2074819,2075745,2076388,2077048,2077048,2078726,2079135,2078927,2079072,2079072,2079418,2080499,2079949,S
2063536,2063536,2063536,2061969,2061969,2060764,2060572,2060572,2059950,2059136,2058931,2059157,2059157,2059341,2060092,2060280,2060280,2060192,2059653,2057312,2049865,2049865,2026721,2005650,2000946,2009729,2009729,2034251,2063376,2069149,2071655,2071655,2071317,2071473,2071141,2071142,2071142,2071699,2072561,2072637,2072396,2072396,2072297,2071897,2071827,2071361,2071361,2071071,2071071,2071071,S
2035331,2035400,2035400,2035749,2036154,2036322,2036992,2036992,2038679,2039611,2041211,2042128,2042128,2042010,2041929,2042367,2042727,2042727,2042604,2041584,2036120,2023578,2023578,2007773,1995468,1995951,2005966,2005966,2027583,2051319,2055192,2056763,2056763,2056795,2056290,2055315,2054270,2054270,2053711,2053473,2054159,2054511,2054511,2054774,2055379,2055751,2055632,2055632,2054225,2053382,S
2197040,2195219,2197091,2197884,2198378,2198378,2198344,2198787,2199618,2201036,2201036,2202015,2203232,2203699,2203282,2203282,2201726,2200768,2200914,2201244,2201244,2201961,2201988,2202187,2202920,2202920,2204163,2205066,2206376,2207110,2207110,2207026,2204661,2203249,2203249,2203249,2203356,2203197,2203929,2204215,2207110,2207026,2204661,2203249,2203249,2203249,2203356,2203197,2203929,2204215,R
2211905,2211905,2210191,2210402,2210253,2208807,2208807,2208665,2207236,2205463,2204720,2204720,2203891,2204670,2206158,2207444,2207444,2207310,2205792,2205024,2203349,2203349,2201231,2202376,2203240,2205108,2205108,2207137,2209623,2213180,2214599,2214599,2217623,2219379,2222180,2224510,2224510,2226689,2229534,2232202,2214599,2214599,2217623,2219379,2222180,2224510,2224510,2226689,2229534,2232202,R
2238701,2238531,2238816,2239355,2239355,2240030,2240738,2240486,2238602,2238602,2237387,2236032,2235731,2235485,2235485,2235156,2234357,2234161,2234345,2234345,2235514,2236563,2238405,2237234,2237234,2234624,2232256,2231021,2230437,2230437,2230729,2230302,2229880,2230157,2230157,2230362,2231365,2232051,2232998,2232998,2230729,2230302,2229880,2230157,2230157,2230362,2231365,2232051,2232998,2232998,R